n,z,neutronSeparationEnergy(keV)
1,0,0
1,1,2224.5662
2,1,6257.2301
3,1,-1600
4,1,-200
5,1,-911.9594
6,1,812
2,2,20577.6211
3,2,-735
4,2,1710.4569
5,2,-409.7143
6,2,2534.7627
7,2,-1254.8254
8,2,-190.0023
1,3,11415
2,3,21715.6211
3,3,5663.3245
4,3,7251.0939
5,3,2032.6182
6,3,4062.2175
7,3,-26.4045
8,3,395.6871
9,3,-210
10,3,100
2,4,26835
3,4,10677.3542
4,4,18898.644
5,4,1664.5388
6,4,6812.2824
7,4,501.6358
8,4,3170.7254
9,4,-510
10,4,1775.8951
11,4,-1800
12,4,450
2,5,27715
3,5,12826.3018
4,5,18576.4012
5,5,8437.1932
6,5,11454.2206
7,5,3369.6283
8,5,4878.7679
9,5,969.5802
10,5,2777.6245
11,5,-83.0012
12,5,1466.6951
13,5,-5
14,5,93.7073
15,5,-1560
16,5,-910
3,6,14224.616
4,6,21283.6164
5,6,13120.594
6,6,18720.7151
7,6,4946.3087
8,6,8176.4341
9,6,1218.0662
10,6,4250.3301
11,6,733.5717
12,6,4183.9319
13,6,576.8292
14,6,2981.5058
15,6,-68
16,6,103
17,6,-2488
4,7,22505.7016
5,7,15098.8939
6,7,20063.9051
7,7,10553.3823
8,7,10833.2968
9,7,2488.849
10,7,5885.1465
11,7,2828.2294
12,7,5328.2305
13,7,2161.0753
14,7,4605.9005
15,7,1538.4289
16,7,3115.6936
17,7,-2146
18,7,-973
4,8,23796.8964
5,8,16969.2213
6,8,23178.9686
7,8,13223.477
8,8,15663.9424
9,8,4143.0801
10,8,8045.3702
11,8,3955.6439
12,8,7608.0042
13,8,3805.456
14,8,6850.3198
15,8,2732.9795
16,8,4192.2843
17,8,-757.3077
18,8,739.3077
19,8,-1937
20,8,661
5,9,18137
6,9,23468.9686
7,9,13962.8884
8,9,16794.7986
9,9,9149.9069
10,9,10431.8757
11,9,6601.3362
12,9,8101.4601
13,9,5230.337
14,9,7579.4305
15,9,3812.0656
16,9,4281.6671
17,9,730.8299
18,9,1612.4952
19,9,-199
20,9,1324.9238
21,9,-739
22,9,189
6,10,24299.9167
7,10,15557.6411
8,10,19254.1527
9,10,11636.8819
10,10,16865.3038
11,10,6761.1623
12,10,10364.2574
13,10,5200.6473
14,10,8868.9154
15,10,4155.1786
16,10,5554.7015
17,10,1501.5217
18,10,3822.4899
19,10,971.2532
20,10,3191.0012
21,10,169.844
22,10,2254
23,10,-1060
24,10,1360
7,11,17752.9059
8,11,20179.9254
9,11,14150.214
10,11,17106.6639
11,11,11067.8522
12,11,12419.7801
13,11,6959.3653
14,11,9011.231
15,11,5574.2849
16,11,6728.3282
17,11,3541.8428
18,11,4403.009
19,11,2276.6421
20,11,4299.9564
21,11,1677.1979
22,11,2931.3567
23,11,171.3166
24,11,1920
25,11,0
26,11,840
27,11,-700
28,11,0
8,12,22432.0181
9,12,14645.1614
10,12,19375.1551
11,12,13145.0063
12,12,16531.2216
13,12,7330.5219
14,12,11093.0797
15,12,6443.3687
16,12,8504.6694
17,12,3663.7325
18,12,6340.3306
19,12,2312.0974
20,12,5778.0669
21,12,2279.5444
22,12,4710.8668
23,12,754.8562
24,12,3330.9446
25,12,240
26,12,2209
27,12,-630
28,12,1297
29,12,-479
9,13,16960
10,13,19525
11,13,14868.2013
12,13,16938.4799
13,13,11365.4835
14,13,13058.0422
15,13,7725.174
16,13,9428.3609
17,13,5727.6723
18,13,7157.9103
19,13,4219.9777
20,13,5469.3317
21,13,2571.5547
22,13,5297.429
23,13,1897.2041
24,13,4212.138
25,13,1411
26,13,3051
27,13,740
28,13,2302
29,13,672
30,13,1791
9,14,17762
10,14,21276
11,14,14989.182
12,14,19039.643
13,14,13314.82
14,14,17179.6099
15,14,8473.6025
16,14,10609.1989
17,14,6587.393
18,14,9199.9699
19,14,4507.957
20,14,7548.674
21,14,2471.1141
22,14,6115.9633
23,14,2206.7049
24,14,5670.1051
25,14,1580.6672
26,14,4724.7939
27,14,538
28,14,4432
29,14,581
30,14,3091
31,14,291
10,15,21901
11,15,17288
12,15,19703
13,15,14560.1422
14,15,17876.3107
15,15,11319.3249
16,15,12311.0066
17,15,7935.65
18,15,10103.7921
19,15,6282.6692
20,15,8380.4257
21,15,3464.5535
22,15,6816.2857
23,15,3696.8704
24,15,6224.3889
25,15,3435.8718
26,15,4911.8962
27,15,1999.7084
28,15,4123
29,15,2002
30,15,3221
31,15,1191
32,15,2101
11,16,18261
12,16,21489
13,16,15238.9444
14,16,19036.1491
15,16,13054.5951
16,16,15044.3237
17,16,8641.6392
18,16,11417.1492
19,16,6985.8384
20,16,9889.2491
21,16,4303.6031
22,16,8036.1081
23,16,4372.7738
24,16,7746.496
25,16,4242.0484
26,16,6700.4858
27,16,2629.0309
28,16,5080.0937
29,16,2207
30,16,4091
31,16,1511
32,16,2882
33,16,70
12,17,22319
13,17,17419
14,17,19780.4181
15,17,14371.4714
16,17,15739.9523
17,17,11508.0637
18,17,12644.7639
19,17,8579.7945
20,17,10310.8617
21,17,6107.8823
22,17,8073.4201
23,17,5828.9185
24,17,7820.6912
25,17,5595.8963
26,17,7399.0588
27,17,4390.781
28,17,5854.8891
29,17,3543.7223
30,17,3917
31,17,2771
32,17,3051
33,17,1111
34,17,1481
35,17,2
12,18,23969
13,18,18817
14,18,21597
15,18,15255.2606
16,18,17065.3159
17,18,12740.314
18,18,15255.5716
19,18,8787.4546
20,18,11838.466
21,18,6598.6867
22,18,9869.0227
23,18,6098.9277
24,18,9426.4865
25,18,5658.4507
26,18,8734.7676
27,18,5168.859
28,18,8071.7717
29,18,3667.3371
30,18,5058.9711
31,18,2777
32,18,4241
33,18,1331
34,18,2961
35,18,-99
36,18,2302
13,19,20342
14,19,22521
15,19,16832
16,19,18024
