n,z,protonSeparationEnergy(keV)
1,1,2224.5662
1,2,5493.4751
2,2,19813.8661
3,2,20678.8661
4,2,22589.323
5,2,23091.5681
6,2,24814
1,3,-3102.9999
2,3,-1964.9999
3,3,4433.3246
4,3,9973.9616
5,3,12416.2941
6,3,13943.7489
7,3,15172.1698
8,3,15757.8592
1,4,-4527
2,4,592.8241
3,4,5606.8539
4,4,17254.404
5,4,16886.3247
6,4,19636.3895
7,4,20164.4299
8,4,22939.4682
9,4,22639.4682
10,4,24315.3634
1,5,-2892
2,5,-2012.5479
3,5,136.3997
4,5,-185.8431
5,5,6586.8113
6,5,11228.7495
7,5,14096.742
8,5,15804.7845
9,5,17284.3647
10,5,18286.0941
11,5,20003.0929
12,5,21019.788
2,6,-98.7453
3,6,1299.5688
4,6,4006.784
5,6,8690.1847
6,6,15956.6792
7,6,17533.3596
8,6,20831.0258
9,6,21079.5118
10,6,22552.2174
11,6,23368.7903
12,6,26086.0271
13,6,26667.8564
14,6,29555.6549
15,6,31047
16,6,32060.6549
3,7,-2600.0851
4,7,-1377.9999
5,7,600.3
6,7,1943.49
7,7,7550.5636
8,7,10207.4263
9,7,11478.209
10,7,13113.0255
11,7,15207.6831
12,7,16351.9817
13,7,17936.2277
14,7,19560.6224
15,7,21167
16,7,24179.745
17,7,24522
3,8,-1649.9147
4,8,-358.7199
5,8,1511.6075
6,8,4626.671
7,8,7296.7657
8,8,12127.4113
9,8,13781.6425
10,8,15941.8662
11,8,17069.2807
12,8,19349.0544
13,8,20993.4351
14,8,23237.8544
15,8,24432.405
16,8,25508.9957
17,8,26898
18,8,28611
4,9,-2728
5,9,-1559.9999
6,9,-1269.9999
7,9,-530.5885
8,9,600.2676
9,9,5607.0944
10,9,7993.5998
11,9,10639.2921
12,9,11132.748
13,9,12557.629
14,9,13286.7398
15,9,14365.8258
16,9,14455.2086
17,9,15943.3462
18,9,16816.5337
19,9,18555
20,9,19219
5,10,-961.9999
6,10,-131.0518
7,10,1463.7009
8,10,3923.055
9,10,6410.03
10,10,12843.4581
11,10,13003.2842
12,10,15266.0816
13,10,15236.3919
14,10,16525.8769
15,10,16868.9899
16,10,18142.0243
17,10,18912.7161
18,10,21122.7109
19,10,22292.9641
20,10,24159.0415
21,10,25068
22,10,27133
6,11,-3443.8336
7,11,-1248.5688
8,11,-322.7961
9,11,2190.5361
10,11,2431.8963
11,11,6738.5862
12,11,8794.1088
13,11,10552.8268
14,11,10695.1423
15,11,12114.2485
16,11,13287.8752
17,11,15328.1963
18,11,15908.7153
19,11,17214.1043
20,11,18323.0595
21,11,19830.4134
22,11,20508
23,11,21739
24,11,22299
7,12,488.5689
8,12,2740.6616
9,12,3235.6089
10,12,5504.1
11,12,7581.2541
12,12,11692.6957
13,12,12063.8523
14,12,14145.701
15,12,15014.7848
16,12,16791.1261
17,12,16913.0158
18,12,18850.3374
19,12,18885.7927
20,12,20363.9032
21,12,20966.2497
22,12,22745.7599
23,12,23329.2995
24,12,24740
25,12,24980
26,12,26349
27,12,26419
28,12,27716
8,13,-2323
9,13,-9
10,13,140.9136
11,13,1864.1087
12,13,2271.3669
13,13,6306.3285
14,13,8271.2911
15,13,9553.0964
16,13,10476.7878
17,13,12540.7276
18,13,13358.3073
19,13,15266.1876
20,13,14957.4524
21,13,15249.4627
22,13,15836.0248
23,13,16978.3727
24,13,17859.5661
25,13,19031
26,13,19873
27,13,21244
28,13,22249
29,13,23399
8,14,739
9,14,1541
10,14,3291.8566
11,14,3412.8372
12,14,5514.0004
13,14,7463.3369
14,14,11584.9046
15,14,12333.3331
16,14,13514.1712
17,14,14373.8919
18,14,16415.9515
19,14,16703.9307
20,14,18783.273
21,14,18682.8324
22,14,19501.3667
23,14,19810.8675
24,14,21268.8346
25,14,21438
26,14,23112
27,14,22909
28,14,25040
29,14,24949
30,14,26249
9,15,-2781
10,15,-2156
11,15,143
12,15,807.0001
13,15,2052.3222
14,15,2749.023
15,15,5594.7454
16,15,7296.5531
17,15,8644.81
18,15,9548.6323
19,15,11323.3446
20,15,12155.0962
21,15,13148.5357
22,15,13848.8581
23,15,15339.0237
24,15,15893.3076
